"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"46","In Just 5 Moves, Grandmaster Loses And Leaves Chess World Aghast https://t.co/PFJb3F1jIU",FALSE,158,NA,2017-02-03 20:33:05,FALSE,NA,"827615915244019712",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","NPR",77,FALSE,FALSE,NA,NA
"47","Listeners Sold Us On What's Special To Them ... And They Sure Got Specific https://t.co/qTx5aF5pv7",FALSE,70,NA,2017-02-03 20:09:36,FALSE,NA,"827610005700358144",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","NPR",25,FALSE,FALSE,NA,NA
"48","'Only God And Trump Knows' Our Fate: A Dispatch From World's Largest Refugee Camp https://t.co/31VgO8lcBT",FALSE,137,NA,2017-02-03 19:57:06,FALSE,NA,"827606862610599936",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","NPR",142,FALSE,FALSE,NA,NA
"49","President Trump signed two directives today, ordering a review of financial industry regulations known as Dodd-Frank https://t.co/xnCfU7fqiI",FALSE,192,NA,2017-02-03 18:47:37,FALSE,NA,"827589376804794368",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",275,FALSE,FALSE,NA,NA
"50","Special Report: Building, and losing, a career on Facebook https://t.co/oP9MPslqXV https://t.co/ISZWQ5Km6S",FALSE,43,NA,2017-02-03 18:06:01,FALSE,NA,"827578906345664512",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",27,FALSE,FALSE,NA,NA
"51","A federal judge has accepted Medicare's plans to try once more to correct a commonly held misconception https://t.co/RZKB5dNo2C",FALSE,76,NA,2017-02-03 17:36:00,FALSE,NA,"827571353452621825",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",42,FALSE,FALSE,NA,NA
"52","African farmers have a secret economic weapon: trees https://t.co/z44sMbKvYc",FALSE,326,NA,2017-02-03 17:14:44,FALSE,NA,"827565998748348416",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",112,FALSE,FALSE,NA,NA
"53","President Trump is expected to sign two directives today, ordering a review of Dodd-Frank and a fiduciary rule https://t.co/xnCfU7fqiI",FALSE,105,NA,2017-02-03 16:49:13,FALSE,NA,"827559579122810880",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",132,FALSE,FALSE,NA,NA
"54","Trump's Campaign Paid Millions To His Own Properties, FEC Documents Say https://t.co/wgCyVsLnC7",FALSE,529,NA,2017-02-03 16:37:06,FALSE,NA,"827556530887151617",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","NPR",898,FALSE,FALSE,NA,NA
"55","U.S. Treasury Department Announces New Sanctions On Iran https://t.co/ZLX8a7QHJf",FALSE,81,NA,2017-02-03 15:58:06,FALSE,NA,"827546716186423300",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","NPR",82,FALSE,FALSE,NA,NA
"56","Breaking: U.S. Treasury Dept. announces new sanctions against Iran in reaction to ballistic missile program",FALSE,147,NA,2017-02-03 15:40:40,FALSE,NA,"827542326776049664",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",150,FALSE,FALSE,NA,NA
"57","""Trump tweets about withdrawing federal funding, and suddenly you're impassioned and you have a point of view."" https://t.co/MRU44og7R9",FALSE,154,NA,2017-02-03 15:15:01,FALSE,NA,"827535872010514432",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",120,FALSE,FALSE,NA,NA
"58","Bogus 'Bowling Green Massacre' Claim Snarls Trump Adviser Conway https://t.co/fdAaosyiUb",FALSE,1294,NA,2017-02-03 14:57:33,FALSE,NA,"827531477441212417",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","NPR",871,FALSE,FALSE,NA,NA
"59","The long, ignominious trail of bans, registries and forced relocation in the U.S. https://t.co/GFAgDU9VGO https://t.co/anTyoLbgeH",FALSE,349,NA,2017-02-03 14:46:25,FALSE,NA,"827528673616080896",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",438,FALSE,FALSE,NA,NA
"60","U.S. Added 227,000 Jobs In January, Outpacing Expectations https://t.co/O0Kur4xV78",FALSE,131,NA,2017-02-03 14:00:37,FALSE,NA,"827517149425963008",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","NPR",54,FALSE,FALSE,NA,NA
"61","Video: Hey wait, don’t eat that sneezing monkey! And other lessons from the history of humans and germs https://t.co/ndApGvdmsO",FALSE,30,NA,2017-02-03 13:28:56,FALSE,NA,"827509177262157826",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NPR",18,FALSE,FALSE,NA,NA
"62","Federal health officials may be about to get greatly enhanced powers to quarantine people https://t.co/TLTaAFeXmo",FALSE,69,NA,2017-02-02 14:48:01,FALSE,NA,"827166689376624641",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",139,FALSE,FALSE,NA,NA
"63","Over 2,000(!) people sold us on what brings them joy. We picked 5 and made them into honest-to-goodness ads. Listen… https://t.co/VIPXapFAgT",FALSE,307,NA,2017-02-02 14:33:01,TRUE,NA,"827162912993054720",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",109,FALSE,FALSE,NA,NA
"64","Trump's Supreme Court choice is a disciple of Antonin Scalia's ""originalist"" crusade https://t.co/MLPmWLHt6k https://t.co/WDtnMfU56g",FALSE,68,NA,2017-02-02 14:23:01,FALSE,NA,"827160398130352128",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",62,FALSE,FALSE,NA,NA
"65","Update: One hostage has died in a standoff at Delaware State Prison https://t.co/0ces0qgZqn",FALSE,21,NA,2017-02-02 14:00:52,FALSE,NA,"827154823149658112",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",59,FALSE,FALSE,NA,NA
"66","Sorry folks, Punxsutawney Phil saw his #GroundhogDay shadow. That means (unscientifically) 6 more weeks of winter https://t.co/1ELr7GcdLm",FALSE,680,NA,2017-02-02 13:23:58,FALSE,NA,"827145537375838209",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NPR",688,FALSE,FALSE,NA,NA
"67","LISTEN: These 5 Fake Ads Will Sell You On Some Of Life's Real Delights https://t.co/S3j8YHdHOE",FALSE,64,NA,2017-02-02 13:03:10,FALSE,NA,"827140303647711234",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","NPR",19,FALSE,FALSE,NA,NA
